
                     __     _
   ____  __  _______/ /__  (_)
  / __ \/ / / / ___/ / _ \/ /
 / / / / /_/ / /__/ /  __/ /
/_/ /_/\__,_/\___/_/\___/_/   v3.11.1

		projectdiscovery.io

[[34mINF[0m] Current nuclei version: v3.11.1 ([92mlatest[0m)
[[34mINF[0m] Current nuclei-templates version: v10.4.8 ([92mlatest[0m)
[[34mINF[0m] New templates added in latest release: 112
[[34mINF[0m] Templates loaded for current scan: 10730
[[34mINF[0m] Executing 10730 signed templates from projectdiscovery/nuclei-templates
[[34mINF[0m] Targets loaded for current scan: 1
[[34mINF[0m] Templates clustered: 2468 (Reduced 2336 Requests)
[[34mINF[0m] Using Interactsh Server: oast.site
[0:00:05] | Templates: 10730 | Hosts: 1 | RPS: 20 | Matched: 0 | Errors: 2 | Requests: 106/18906 (0%)
[0:00:10] | Templates: 10730 | Hosts: 1 | RPS: 25 | Matched: 0 | Errors: 2 | Requests: 266/18906 (1%)
[0:00:15] | Templates: 10730 | Hosts: 1 | RPS: 31 | Matched: 0 | Errors: 2 | Requests: 485/18906 (2%)
[0:00:20] | Templates: 10730 | Hosts: 1 | RPS: 27 | Matched: 0 | Errors: 2 | Requests: 563/18906 (2%)
[0:00:25] | Templates: 10730 | Hosts: 1 | RPS: 27 | Matched: 0 | Errors: 2 | Requests: 696/18906 (3%)
[0:00:30] | Templates: 10730 | Hosts: 1 | RPS: 25 | Matched: 0 | Errors: 2 | Requests: 771/18906 (4%)
[0:00:35] | Templates: 10730 | Hosts: 1 | RPS: 23 | Matched: 0 | Errors: 2 | Requests: 812/18906 (4%)
[0:00:40] | Templates: 10730 | Hosts: 1 | RPS: 25 | Matched: 0 | Errors: 2 | Requests: 1038/18906 (5%)
[0:00:45] | Templates: 10730 | Hosts: 1 | RPS: 23 | Matched: 0 | Errors: 2 | Requests: 1072/18906 (5%)
[0:00:50] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 2 | Requests: 1111/18906 (5%)
[0:00:55] | Templates: 10730 | Hosts: 1 | RPS: 20 | Matched: 0 | Errors: 2 | Requests: 1154/18906 (6%)
[0:01:00] | Templates: 10730 | Hosts: 1 | RPS: 20 | Matched: 0 | Errors: 2 | Requests: 1222/18906 (6%)
[0:01:05] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 2 | Requests: 1374/18906 (7%)
[0:01:10] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 2 | Requests: 1487/18906 (7%)
[0:01:15] | Templates: 10730 | Hosts: 1 | RPS: 20 | Matched: 0 | Errors: 2 | Requests: 1560/18906 (8%)
[0:01:20] | Templates: 10730 | Hosts: 1 | RPS: 20 | Matched: 0 | Errors: 2 | Requests: 1640/18906 (8%)
[0:01:25] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 3 | Requests: 1809/18906 (9%)
[0:01:30] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 3 | Requests: 1913/18906 (10%)
[0:01:35] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 3 | Requests: 2001/18906 (10%)
