
                     __     _
   ____  __  _______/ /__  (_)
  / __ \/ / / / ___/ / _ \/ /
 / / / / /_/ / /__/ /  __/ /
/_/ /_/\__,_/\___/_/\___/_/   v3.11.1

		projectdiscovery.io

[[34mINF[0m] Current nuclei version: v3.11.1 ([92mlatest[0m)
[[34mINF[0m] Current nuclei-templates version: v10.4.8 ([92mlatest[0m)
[[34mINF[0m] New templates added in latest release: 112
[[34mINF[0m] Templates loaded for current scan: 10730
[[34mINF[0m] Executing 10730 signed templates from projectdiscovery/nuclei-templates
[[34mINF[0m] Targets loaded for current scan: 1
[[34mINF[0m] Templates clustered: 2468 (Reduced 2336 Requests)
[[34mINF[0m] Using Interactsh Server: oast.online
[0:00:05] | Templates: 10730 | Hosts: 1 | RPS: 19 | Matched: 0 | Errors: 2 | Requests: 101/18906 (0%)
[0:00:10] | Templates: 10730 | Hosts: 1 | RPS: 26 | Matched: 0 | Errors: 2 | Requests: 274/18906 (1%)
[0:00:15] | Templates: 10730 | Hosts: 1 | RPS: 31 | Matched: 0 | Errors: 2 | Requests: 482/18906 (2%)
[0:00:20] | Templates: 10730 | Hosts: 1 | RPS: 27 | Matched: 0 | Errors: 2 | Requests: 560/18906 (2%)
[0:00:25] | Templates: 10730 | Hosts: 1 | RPS: 27 | Matched: 0 | Errors: 2 | Requests: 694/18906 (3%)
[0:00:30] | Templates: 10730 | Hosts: 1 | RPS: 25 | Matched: 0 | Errors: 2 | Requests: 771/18906 (4%)
[0:00:35] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 2 | Requests: 810/18906 (4%)
[0:00:40] | Templates: 10730 | Hosts: 1 | RPS: 25 | Matched: 0 | Errors: 2 | Requests: 1039/18906 (5%)
[0:00:45] | Templates: 10730 | Hosts: 1 | RPS: 23 | Matched: 0 | Errors: 2 | Requests: 1075/18906 (5%)
[0:00:50] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 2 | Requests: 1113/18906 (5%)
[0:00:55] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 2 | Requests: 1161/18906 (6%)
[0:01:00] | Templates: 10730 | Hosts: 1 | RPS: 20 | Matched: 0 | Errors: 2 | Requests: 1224/18906 (6%)
[0:01:05] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 2 | Requests: 1380/18906 (7%)
[0:01:10] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 2 | Requests: 1488/18906 (7%)
[0:01:15] | Templates: 10730 | Hosts: 1 | RPS: 20 | Matched: 0 | Errors: 2 | Requests: 1572/18906 (8%)
[0:01:20] | Templates: 10730 | Hosts: 1 | RPS: 20 | Matched: 0 | Errors: 2 | Requests: 1644/18906 (8%)
[0:01:25] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 3 | Requests: 1825/18906 (9%)
[0:01:30] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 3 | Requests: 1921/18906 (10%)
[0:01:35] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 3 | Requests: 2005/18906 (10%)
[0:01:40] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 3 | Requests: 2113/18906 (11%)
[0:01:45] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 4 | Requests: 2271/18906 (12%)
[0:01:50] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 4 | Requests: 2389/18906 (12%)
[0:01:55] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 5 | Requests: 2522/18906 (13%)
[0:02:00] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 5 | Requests: 2643/18906 (13%)
[0:02:05] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 2813/18906 (14%)
[0:02:10] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 2986/18906 (15%)
